,plaintext,ciphertext
26459,325f,e308
26460,83ce,21d2
26461,7046,d1c4
26462,5343,74c2
26463,4d72,9b7a
26464,c0da,8521
26465,13bc,11f1
26466,4914,800e
26467,4905,8f98
26468,4158,7676
26469,b9d8,ceb3
26470,1fdd,4a2d
26471,106d,a42b
26472,9f57,5e8a
26473,7055,3644
26474,f86e,3aa9
26475,39cc,0c1f
26476,5683,08df
26477,2a96,06ee
26478,b670,4225
26479,10df,6276
26480,5568,296c
26481,52c2,8f8a
26482,e7f1,ce42
26483,631d,2d50
26484,9d45,55cc
26485,ffa9,f953
26486,c0af,7d9f
26487,062d,d878
26488,4eee,ee8a
26489,43c7,5f6b
26490,7229,4931
26491,2bd9,3fc6
26492,9e46,dda8
26493,ef8a,2990
26494,561c,1cb4
26495,a042,83ad
26496,79c5,5c28
26497,0ebf,b519
26498,8fcb,cc19
26499,709b,217d
26500,3681,2ded
26501,4228,1c63
26502,6ba8,4f88
26503,521a,063a
26504,4051,cb0f
26505,731c,e9e8
26506,394f,2657
26507,9ae2,cb37
26508,2955,6bed
26509,fe43,f222
26510,1554,6430
26511,a14c,e83e
26512,5f92,e497
26513,5d64,55c4
26514,cbe9,2beb
26515,0f40,9467
26516,b7af,48be
26517,014a,5ae2
26518,9f09,ef87
26519,6906,e6c6
26520,ad05,ab44
26521,65ce,6c86
26522,4aa4,e618
26523,a61d,92da
26524,5a9e,c063
26525,ec8d,7b04
26526,0842,aea5
26527,78ac,df02
26528,4cc2,855d
26529,0fc9,5c69
26530,3458,daf3
26531,4727,6461
26532,c2f5,5094
26533,0210,d640
26534,b7e7,f944
26535,aef7,bc85
26536,e24a,4c3a
26537,5150,b1a7
26538,4f10,f18f
26539,84f8,4b21
26540,c4f2,7122
26541,a364,f0dc
26542,607f,e886
26543,d10b,2f04
26544,5620,4af4
26545,2fdf,e4b0
26546,2317,693c
26547,c39d,fdf3
26548,5e55,e7ea
26549,0ada,4580
26550,d1a6,89e0
26551,600b,be67
26552,9029,cf96
26553,18a3,4c7f
26554,5672,58fc
26555,c044,b77e
26556,2379,7845
26557,6dab,0a28
26558,3cd8,658b
26559,54a7,de56
26560,d054,c196
26561,fa73,72e4
26562,fdd5,d05a
26563,10cf,cb17
26564,858d,5008
26565,f36c,6745
26566,addc,aa61
26567,ece3,447a
26568,5815,ab67
26569,a954,980c
26570,4e5a,62df
26571,1cbf,c262
26572,1139,a7ec
26573,f87e,06f6
26574,06dc,9418
26575,026e,f6d4
26576,b300,1028
26577,98d2,dbbb
26578,e69a,d689
26579,68fc,9366
26580,733b,d73f
26581,dbf0,e8a9
26582,44d3,0734
26583,da8e,73ce
26584,f6fc,7665
26585,e8ca,3ae4
26586,eb23,5b69
26587,c408,6afd
26588,e78e,8d1e
26589,1ac1,78f1
26590,db01,feb9
26591,70e0,09d9
26592,1273,0a23
26593,161d,43a7
26594,7d1b,14ba
26595,11e8,17fb
26596,d01a,9dce
26597,afae,44fd
26598,7fa9,6a15
26599,f378,f0fa
26600,81e0,39f5
26601,caa3,0659
26602,15c3,9d7e
26603,268a,0b95
26604,bd2a,8f88
26605,5fb5,0727
26606,fbce,6a6b
26607,7641,d85c
26608,0a52,d5dc
26609,75b8,e368
26610,bfa3,0361
26611,1dae,7e66
26612,2859,02a3
26613,85c3,4842
26614,1132,a25a
26615,e173,19c4
26616,721f,107b
26617,a881,3e83
26618,03a7,31a1
26619,297e,f932
26620,7a19,6cba
26621,f10e,14b2
26622,2925,9290
26623,90a1,025a
26624,e889,ea25
26625,0615,2c7e
26626,a932,ca0d
26627,01f2,f4f1
26628,41f2,7a46
26629,cbd3,bf78
26630,bae2,554e
26631,2850,e445
26632,7371,abe0
26633,6955,e85e
26634,53a3,def4
26635,9cfc,b2e7
26636,bec4,133f
26637,2b75,42b0
26638,6269,09a0
26639,88dd,f4e8
26640,0eca,a7b2
26641,f2fd,1492
26642,1e49,0fb1
26643,fddf,988d
26644,96bf,df7d
26645,6ec2,38c9
26646,1aa7,f1ac
26647,7b07,b534
26648,8bc7,45ca
26649,2598,9a6b
26650,6c77,c0f4
26651,b268,b9db
26652,8756,48b6
26653,d9f2,4acd
26654,3cc4,38c0
26655,08fb,4d0e
26656,400b,c22b
26657,5a01,84a9
26658,7439,ac3b
26659,bcc5,d757
26660,f58b,4427
26661,5cca,3ccf
26662,e23a,33c0
26663,0af4,28f3
26664,7762,1194
26665,a12e,5b0d
26666,06a0,3cad
26667,a3c1,82a0
26668,acdb,8885
26669,9857,6e6e
26670,7cbf,258e
26671,e76c,5d09
26672,6d69,d937
26673,5bf3,bc28
26674,51de,ebd2
26675,a70f,3a9a
26676,6cc8,46f3
26677,055d,9e6e
26678,8dc3,ff87
26679,47c1,e4a0
26680,b330,158e
26681,66fa,47dd
26682,898d,9e44
26683,abd0,a59c
26684,8093,fc64
26685,a97b,cdeb
26686,aaef,9cd3
26687,3fbf,0b5b
26688,1ad7,a46c
26689,a60b,c9f9
26690,228b,cd7f
26691,128c,31bf
26692,49be,04c2
26693,0903,dbe3
26694,355c,7afc
26695,3695,cb65
26696,d7d4,6b17
26697,d720,7bad
26698,823c,e092
26699,4fd3,69c4
26700,c77b,11fe
26701,7b4a,9dcc
26702,063f,0cb2
26703,f5f2,04d1
26704,688d,f68d
26705,8a57,19f4
26706,62a7,4bcc
26707,09cf,9c13
26708,2e45,72b2
26709,b419,29ec
26710,9df5,5aa3
26711,29af,1533
26712,4d2b,e934
26713,f11a,fc53
26714,12e2,e53b
26715,d5e6,f1ee
26716,2d07,195e
26717,8c1a,3cb8
26718,dce7,d054
26719,d1a3,3f85
26720,a09c,4796
26721,0090,6984
26722,a176,cc9f
26723,dd9e,7e10
26724,8126,7ceb
26725,53e6,ffe5
26726,3c32,1606
26727,dc47,baa1
26728,71a0,3323
26729,01f6,5e02
26730,78c6,77ea
26731,38f3,c566
26732,3158,9028
26733,5251,04d2
26734,78b6,34e2
26735,f2c1,cfae
26736,38f2,f741
26737,1788,c0a5
26738,4722,46e5
26739,3530,f163
26740,f91b,a19d
26741,9f5c,d73c
26742,641d,504a
26743,c8ec,a7a1
26744,0f1f,f97e
26745,8fd6,8a8c
26746,57e5,29a1
26747,6687,f3e3
26748,7a8f,dabe
26749,66d7,4589
26750,e869,ed8f
26751,9048,cd51
26752,050c,1359
26753,3f25,bab7
26754,2e12,e47b
26755,585b,d775
26756,8d1d,ae24
26757,4bb8,4921
26758,aa70,b68e
26759,60b5,04dc
26760,6aa8,ac5e
26761,d206,e1a1
26762,c022,5a7d
26763,fcf8,1c68
26764,527c,6a2a
26765,6505,778d
26766,180b,a2df
26767,6ca2,a969
26768,20db,2112
26769,0671,d65f
26770,e8d0,67a7
26771,e36f,8be7
26772,6fe4,ee6d
26773,8d03,0e25
26774,132d,5dd7
26775,5db5,91d4
26776,246b,efeb
26777,2f4d,ec67
26778,c07a,6290
26779,df4b,93c9
26780,7f2a,5f02
26781,1347,8a02
26782,f337,761b
26783,d814,7934
26784,320a,ff60
26785,f604,c0dc
26786,a185,17f6
26787,2053,37cc
26788,7428,e534
26789,7394,d3de
26790,1e56,9e84
26791,6904,982f
26792,287e,cbe1
26793,7296,1729
26794,c54c,1e4e
26795,9228,05b5
26796,31e5,597e
26797,6fc9,e515
26798,69fc,3095
26799,c321,2a85
26800,4403,97f5
26801,7005,0a24
26802,171f,cb18
26803,237a,3677
26804,abed,a4e6
26805,c6f1,8ac1
26806,4057,9b51
26807,72d8,f70a
26808,6210,d2ac
26809,1698,4b09
26810,ba3b,f9a0
26811,7eb9,3329
26812,8f92,11e2
26813,8101,292f
26814,a8bd,0483
26815,5153,922f
26816,964e,d59e
26817,d4ca,21df
26818,3fd1,c8b9
26819,5c07,1096
26820,9816,dc4f
26821,759d,a77f
26822,3d47,bfb6
26823,2707,fb42
26824,34b2,68fe
26825,afc1,418f
26826,e8f3,af04
26827,56e1,e5d3
26828,2efd,5fa3
26829,f941,ba56
26830,5a56,5875
26831,694a,8524
26832,6d56,231c
26833,5016,4e7b
26834,469d,93ed
26835,2a34,738e
26836,6bd9,49a9
26837,d562,d311
26838,b467,7f3b
26839,4713,7640
26840,86f4,d4e5
26841,8a13,3d85
26842,ca6a,5db0
26843,172d,0ed8
26844,fa37,5cb6
26845,11b4,3a54
26846,21a1,b3a0
26847,e377,3a41
26848,8ce8,1c65
26849,423d,ba71
26850,4a5d,e572
26851,79a3,04eb
26852,6539,1b4e
26853,0fac,fcb2
26854,a289,7251
26855,2e84,1e87
26856,946c,b849
26857,3f18,8642
26858,80d3,a70b
26859,da34,41fe
26860,6a41,887c
26861,d95e,c065
26862,6270,c707
26863,ce3e,f4cd
26864,6d03,d8d8
26865,a01d,484d
26866,3b36,a771
26867,508d,2fce
26868,87e4,2636
26869,914b,ea36
26870,2765,d7e7
26871,e1f3,bd20
26872,8f57,d0a7
26873,e17b,7de9
26874,0985,fad9
26875,02ba,8d4e
26876,97a1,6fca
26877,01d1,19ed
26878,2d39,9601
26879,a016,223d
26880,3250,58c4
26881,9873,5633
26882,d11a,75fe
26883,94c4,bb20
26884,d17d,74ac
26885,fbd2,c16c
26886,366f,34f5
26887,2db5,6721
26888,a4ca,4f31
26889,4b38,9a0d
26890,5d91,ff9e
26891,22dd,6f8b
26892,dae6,2817
26893,1dc3,9c54
26894,5401,6f83
26895,5dcf,6907
26896,7668,3caf
26897,c1f0,4b6c
26898,401c,55df
26899,990d,aef4
26900,8875,0dd9
26901,60b8,d439
26902,d106,704a
26903,48f5,e1fb
26904,6feb,3892
26905,a1ca,4b12
26906,5fb3,e780
26907,ef5b,d401
26908,e8bd,5688
26909,0744,9f71
26910,5e57,9826
26911,73aa,8c88
26912,4f0c,8a93
26913,db99,a174
26914,ad0d,449d
26915,94d4,ebef
26916,745c,4331
26917,c854,a83f
26918,17de,9caa
26919,7df1,f240
26920,48bd,87db
26921,f109,a2cf
26922,c3ef,e547
26923,4f48,c5c9
26924,229a,a72e
26925,6c7c,e633
26926,b36d,8323
26927,82ff,d4a7
26928,128b,51c4
26929,aad4,92a0
26930,490f,bf13
26931,376f,7312
26932,78a7,8d5a
26933,58e2,2e2d
26934,0dcb,6ac3
26935,a4f9,e8f2
26936,5439,0058
26937,c1fd,5f0f
26938,32d7,148c
26939,1a3d,908a
26940,cb84,37b6
26941,ed4a,2c57
26942,fc62,83f1
26943,d06e,b53b
26944,d3e8,505c
26945,c463,baf7
26946,6491,be76
26947,377b,6652
26948,35c2,9093
26949,981a,58c5
26950,a6f7,5b1b
26951,3715,a221
26952,62a9,93fd
26953,333e,bd99
26954,6a99,bc02
26955,73f9,a7f5
26956,3479,caa7
26957,d94e,d367
26958,3a2e,ade3
26959,2ff9,ce41
26960,0bfb,022d
26961,8b86,f7e0
26962,dbdb,4974
26963,7e69,f923
26964,69a4,51da
26965,5dae,1ab2
26966,ac6b,f0c1
26967,1117,673c
26968,b4a7,0026
26969,1f82,f30d
26970,46c8,1f44
26971,6948,460b
26972,7163,aa3b
26973,e581,e519
26974,686c,95a0
26975,af0d,2163
26976,bda9,e64c
26977,d1e6,a895
26978,42ae,6fea
26979,68c9,02de
26980,e8f6,380b
26981,361f,34a8
26982,3252,00bb
26983,fded,009c
26984,6912,5491
26985,0553,a985
26986,464f,518a
26987,5d90,7f6e
26988,3e7d,e7f5
26989,4bad,7ff6
26990,2158,2605
26991,79f5,3098
26992,2df2,742e
26993,e3b5,4c19
26994,cbbf,fb1d
26995,1c84,6ce1
26996,1421,2f3e
26997,a43f,b0eb
26998,aca1,037c
26999,4005,6a6a
27000,8560,f7fb
27001,8895,5ebc
27002,730c,ddf8
27003,1ded,3abd
27004,16a5,217f
27005,d93a,7f2d
27006,2151,a56d
27007,29fa,e580
27008,52c1,ad97
27009,31a9,6c16
27010,2655,b45a
27011,032c,add5
27012,43b7,ad73
27013,d082,1611
27014,c84c,07cb
27015,ffce,6872
27016,3b2c,4794
27017,e87b,b88a
27018,b0ba,95cc
27019,5112,7183
27020,9c25,d275
27021,2434,2840
27022,3224,ec62
27023,59a9,ec98
27024,0a2d,15fc
27025,ea45,3e25
27026,b861,eba8
27027,bf79,5294
27028,440b,8aef
27029,8b45,f2f9
27030,1c54,88ce
27031,98d0,974d
27032,e0dc,b19b
27033,a9bf,f07f
27034,1f5e,d917
27035,88de,74d7
27036,0d0b,99a6
27037,711a,b612
27038,c935,d029
27039,1a40,df66
27040,0271,2e47
27041,76b2,7de2
27042,73b4,8072
27043,d5f9,0d44
27044,46ef,f84f
27045,8f5d,efa9
27046,cd3f,e628
27047,0c8c,cbc9
27048,f374,c960
27049,82fd,5247
27050,1182,1c57
27051,3198,0cff
27052,4cb9,1252
27053,ba6e,43e8
27054,de1b,6e5f
27055,62d6,ce5b
27056,c11a,c36b
27057,eb14,8ba8
27058,36f1,ef89
27059,e7e9,247a
27060,8243,db53
27061,826f,72fb
27062,0731,f5c3
27063,526d,e640
27064,837a,d08c
27065,d735,9ad2
27066,20b7,31d1
27067,2f44,60e3
27068,ac45,7842
27069,eec0,03f1
27070,2a03,035f
27071,15aa,5f3e
27072,974a,95bc
27073,ad7b,30b9
27074,c295,6724
27075,5cd9,1aee
27076,4c7a,e413
27077,8687,40a6
27078,2dd0,07dd
27079,a26f,60d6
27080,ce23,f5d9
27081,e9fb,a78c
27082,904c,e84b
27083,256c,c284
27084,8182,4b19
27085,7374,d97e
27086,6886,a918
27087,9e97,f83d
27088,42e0,68ba
27089,8993,de10
27090,f903,a23f
27091,a476,6e93
27092,2322,7fd4
27093,6b1f,61c6
27094,0494,fab7
27095,8a7a,902e
27096,1717,56f9
27097,6bb3,6cfd
27098,40e4,0ba3
27099,17ea,f5de
27100,962a,52bd
27101,5f98,0c69
27102,99c3,3794
27103,d7c8,47f9
27104,7b6b,11ee
27105,28b0,d2d8
27106,e80e,7e85
27107,ae12,b1d6
27108,0175,f857
27109,414d,5ddc
27110,00e3,f5b8
27111,e927,7c93
27112,5d67,8aea
27113,e636,315e
27114,bd4b,4030
27115,de23,8859
27116,d76c,cab0
27117,2c2e,d8b8
27118,bc37,092e
27119,4c95,38bb
27120,3a5a,3ad9
27121,1e01,9f4a
27122,0493,147e
27123,061e,852d
27124,8682,91a3
27125,ff62,5145
27126,8c9a,8238
27127,b05a,7917
27128,0a7f,a31a
27129,44b1,e748
27130,aa4a,83ab
27131,6b4a,8ba6
27132,88cb,c2e6
27133,317f,c2ba
27134,7a13,cb1a
27135,63f9,373f
27136,5db1,6e7b
27137,9ad6,401d
27138,4d2c,e45f
27139,c0f0,ad69
27140,929d,0e3b
27141,411c,dd52
27142,c5af,edbf
27143,6d58,719e
27144,8786,d7b4
27145,31d8,0336
27146,d5b0,0749
27147,a827,8a0b
27148,2065,d16b
27149,5c26,67ea
27150,fc38,b6f5
27151,04c4,6ab1
27152,6e5f,3b5f
27153,5197,3c38
27154,ab38,a556
27155,809a,d569
27156,7237,1554
27157,2445,055a
27158,d813,3605
27159,a835,a088
27160,7f58,97f6
27161,ff1a,3a12
27162,05f7,42bc
27163,bb0f,11cb
27164,91d9,6967
27165,4da4,e4ca
27166,8d1a,a341
27167,30dd,af1e
27168,3040,adc4
27169,dbf5,3c06
27170,69b2,5e8b
27171,221b,12d9
27172,0417,d55c
27173,594f,4004
27174,cfd9,1d75
27175,ff16,1fb5
27176,ea10,b509
27177,b1f9,f42a
27178,440a,d5b8
27179,5ff3,152d
27180,661f,dcc2
27181,2e51,c3f2
27182,987e,9e33
27183,1d22,9af3
27184,2665,dd59
27185,796b,dc6a
27186,0676,1def
27187,3b07,df3f
27188,ae8c,2398
27189,9cf5,7f41
27190,2592,4708
27191,cde1,a273
27192,95cc,7eea
27193,c9dd,d56b
27194,4915,8fdb
27195,7217,1555
27196,b561,2726
27197,223c,2685
27198,40dd,ae7f
27199,c878,6c5d
27200,9395,0eac
27201,9a8b,654d
27202,f9f7,3c12
27203,28d3,e406
27204,b738,fb3e
27205,de20,cbf6
27206,fe17,59c9
27207,a57c,75e1
27208,52f6,8100
27209,11f0,9ed2
27210,b2a6,46b3
27211,f473,2fb7
27212,bb87,0545
27213,c751,3434
27214,a027,2de0
27215,59ad,d99a
27216,3e54,722d
27217,f976,7b99
27218,76b7,d011
27219,3d9d,1f43
27220,70b1,4ed6
27221,44f7,70b5
27222,16a8,4119
27223,c153,3c66
27224,409f,cb00
27225,ceae,3b13
27226,662b,bc4f
27227,6da3,c4be
27228,ce66,9206
27229,aab4,91fc
27230,0cfd,4ce1
27231,bc04,33ce
27232,4461,b6be
27233,f311,e379
27234,2344,8b86
27235,e639,fd53
27236,8e6d,03a1
27237,0371,50c9
27238,db0a,9ec7
27239,6146,6f82
27240,7420,a7ea
27241,04be,0325
27242,b0b1,feb4
27243,12a3,9c2f
27244,5ae7,3f05
27245,6a98,fcdd
27246,a0d1,0cd9
27247,5dab,f518
27248,143d,40ef
27249,c983,091f
27250,4d18,ee89
27251,e50e,574d
27252,211e,84d1
27253,3724,c8c6
27254,fbb2,a69c
27255,9245,fc5c
27256,b9ad,c85b
27257,1cf2,8160
27258,1544,c7a1
27259,e15f,87f6
27260,b40c,d520
27261,50fb,e895
27262,5a31,8803
27263,56ff,84a8
27264,3fe3,d510
27265,4423,57ba
27266,390c,63cd
27267,0e75,f097
27268,2e4a,ad1d
27269,6999,a6f3
27270,aae7,6b15
27271,fbbe,96f1
27272,f45b,05f0
27273,3486,e621
27274,aa74,ab36
27275,ab4e,1e96
27276,2bb4,9c3e
27277,53fe,bc87
27278,95e1,5811
27279,d41d,56b0
27280,1a6d,65f7
27281,28d1,8786
27282,ac81,a54d
27283,42ff,283f
27284,054c,5378
27285,34a2,0aff
27286,e7fa,a3ab
27287,259f,e339
27288,6574,cce7
27289,2cef,2b3b
27290,6b68,5bd5
27291,93ee,24bd
27292,d0a3,084e
27293,7f06,da40
27294,6f0a,8ad4
27295,5f09,0a11
27296,e52b,123e
27297,417a,9b7d
27298,481a,8880
27299,b711,a1de
27300,f461,cf82
27301,d4f2,54b7
27302,9148,7616
27303,0e89,bc99
27304,81d9,47b9
27305,da67,ab30
27306,fc4a,3aeb
27307,77fd,6a7a
27308,e05d,4efe
27309,f474,0342
27310,0b01,9595
27311,4e9d,1269
27312,d4f5,a90e
27313,dceb,130d
27314,4884,3ffe
27315,7cf0,474d
27316,91aa,78e9
27317,000b,a511
27318,3bd0,daa7
27319,4a5a,3ba3
27320,fc43,141f
27321,ef06,63e4
27322,d848,849e
27323,d079,0a7d
27324,0b65,4b79
27325,912a,7b7d
27326,69a1,e1dc
27327,b77d,e69f
27328,5533,0481
27329,7976,e79f
27330,6aa1,d1ef
27331,a18f,e3e5
27332,84aa,f2ec
27333,f9e4,d97a
27334,5b2d,3734
27335,ab21,764b
27336,43c2,ce9f
27337,f4a0,2a6b
27338,6a06,7669
27339,7d13,c869
27340,e406,66b1
27341,8a34,cbb6
27342,f955,e6de
27343,db40,84c9
27344,da7a,d299
27345,c692,9c37
27346,4a77,119f
27347,7f42,7145
27348,0fcb,80ed
27349,11f1,32b2
27350,e9dc,021f
27351,2e96,7aa3
27352,062f,95b8
27353,e8e3,5283
27354,32af,e757
27355,12d3,9a93
27356,b778,3861
27357,0eed,914a
27358,9d66,8a37
27359,90b0,bd73
27360,9a46,5516
27361,32a4,e364
27362,8797,be81
27363,c5e7,ed1f
27364,a6a3,0497
27365,4ac4,d714
27366,6289,9ede
27367,7e6f,6783
27368,3166,55d2
27369,7abe,4e36
27370,fd9d,c4eb
27371,e558,2cdd
27372,a631,6dda
27373,7d03,3e9b
27374,c5bd,e7ae
27375,6bad,8534
27376,8fba,65f0
27377,985a,a41b
27378,8349,4a17
27379,e0ab,4568
27380,cc48,1172
27381,7dcc,d0e8
27382,0e70,cb77
27383,8454,a646
27384,c6cf,2f7f
27385,9135,a52b
27386,2464,d89e
27387,9dd2,ba6f
27388,40ae,3867
27389,7fb5,136e
27390,f43e,b0c8
27391,09f5,f643
27392,78b9,9632
27393,3c57,98c7
27394,6ddc,d34f
27395,8884,ee87
27396,d147,b564
27397,012c,4d8f
27398,1999,7ec9
27399,9dbc,f403
27400,7669,6ca8
27401,5ad4,5f19
27402,e317,4c8b
27403,e25d,49b8
27404,bfc2,57ff
27405,3b9a,42ba
27406,b58c,1c70
27407,0ffd,2d46
27408,77b6,b3b6
27409,fadc,6521
27410,1f4a,affa
27411,f2b3,9819
27412,8a6e,cf95
27413,8821,86df
27414,3ed9,3b94
27415,8cb6,3d4f
27416,18ba,05c8
27417,3fd3,d844
27418,2461,035c
27419,f230,61db
27420,478b,9caf
27421,ffb0,951c
27422,cf2e,67ed
27423,8fd0,f0b9
27424,5f56,2073
27425,30d6,49a6
27426,0ad9,0591
27427,c75c,8063
27428,d170,69bd
27429,8698,8a15
27430,5ad1,ed56
27431,44ad,062f
27432,f531,f414
27433,ddd5,1c59
27434,d5f2,0afc
27435,7dff,7c2b
27436,ea1d,354e
27437,6ec6,48d9
27438,44e8,da3f
27439,7841,8dca
27440,22d7,a93a
27441,eecd,6e97
27442,9ffa,4d49
27443,7e70,f779
27444,4ec9,939f
27445,cf30,adc9
27446,8961,297d
27447,b64d,7ef2
27448,9ccf,f686
27449,229b,2f2d
27450,4893,9635
27451,58a4,72c1
27452,c025,1528
27453,8f9e,1872
27454,7223,a288
27455,d631,ea81
27456,80e0,0096
27457,b181,2a7f
27458,3a18,e595
27459,4dcb,75a7
27460,442a,cd23
27461,6eee,9d1f
27462,2413,6274
27463,b4da,bd4d
27464,c980,021a
27465,d23a,2d4a
27466,1528,300d
27467,55ae,51ac
27468,548e,d33f
27469,152a,369b
27470,b3c6,6192
27471,0c26,bfad
27472,4e0a,f2e3
27473,b40e,dbc6
27474,f8aa,29ff
27475,7b41,97b6
27476,5af5,35f3
27477,65fc,4936
27478,8eff,37dd
27479,2f11,66a6
27480,04fb,3324
27481,10c4,cc16
27482,9fb5,9e4a
27483,f7b6,6151
27484,4df1,f6df
27485,5031,81fd
27486,447f,5fe6
27487,8713,1f0f
27488,59a4,d471
27489,8b10,3007
27490,5334,5f60
27491,5141,14a2
27492,1314,c3aa
27493,a914,f4af
27494,121e,f5fc
27495,86ac,1cd5
27496,978a,a94a
27497,b98a,2ed1
27498,35c9,911d
27499,1801,8f3e
27500,6fab,27d3
27501,5302,d451
27502,cf18,7f1d
27503,2d31,627c
27504,40d4,1618
27505,308b,78ca
27506,77dd,97dd
27507,4827,52ad
27508,5766,96b9
27509,b7ea,40a9
27510,dde4,9bf7
27511,7e5a,cfc0
27512,b396,3148
27513,1f99,4f71
27514,4452,e6e9
27515,cfdc,d610
27516,8838,cc51
27517,e145,1243
27518,b1cc,8587
27519,cf34,7ae1
27520,722b,8336
27521,ac98,e265
27522,a4c8,75f8
27523,7f9f,dcbe
27524,1e20,a4db
27525,fb6f,4056
27526,9751,203e
27527,f2d0,af27
27528,8607,60c6
27529,7242,d8ee
27530,79d5,0021
27531,2ea2,8e95
27532,8124,e60f
27533,5ccc,37bf
27534,32b3,290c
27535,26a6,4208
27536,19a0,a421
27537,0022,b586
27538,9483,6826
27539,7830,a9d6
27540,e7b8,41d3
27541,0d6e,f3e4
27542,c6a6,f9e4
27543,04a4,f117
27544,3545,2740
27545,2d55,a972
27546,c4cc,25d8
27547,d6a6,21f7
27548,9b3a,4bdc
27549,ac62,bfc7
27550,3cff,b9ce
27551,f0b4,c8a1
27552,f1ea,961d
27553,eccb,3fca
27554,13b5,1773
27555,2f1d,f0a0
27556,d528,8662
27557,c5d1,cbdf
27558,3413,132b
27559,e80b,b49a
27560,2fb0,dfd7
27561,e0ee,b098
27562,fa9c,0c9e
27563,2933,e755
27564,036e,a3d1
27565,ec99,c84f
27566,2c43,f680
27567,4fdd,09df
27568,db21,f28a
27569,6a00,8531
27570,d5f1,1810
27571,a145,d0ad
27572,51d6,2592
27573,b377,17ba
27574,9b0f,b1bd
27575,9a73,a864
27576,6e89,eeaf
27577,1f3e,e0ce
27578,9fda,0b93
27579,d708,9969
27580,1873,5a70
27581,b802,8b33
27582,65bc,6859
27583,9b2b,115e
27584,308c,23c8
27585,8c64,b817
27586,fe94,a5b7
27587,1f22,f01c
27588,8c90,06f5
27589,5da9,74fe
27590,0435,d55a
27591,6e59,cb74
27592,c4ba,8032
27593,7973,51e5
27594,ecaf,8be2
27595,c378,2601
27596,0e4a,5d3b
27597,653a,ab8a
27598,682d,4c9a
27599,ca76,9868
27600,9c0c,e19b
27601,3dc2,9b11
27602,760b,70ac
27603,c65c,ce2e
27604,4f18,1826
27605,6155,9069
27606,367d,3b0d
27607,e713,4e07
27608,8e56,4bb1
27609,2c87,e2e8
27610,c9b4,1972
27611,83de,42cc
27612,2e63,d145
27613,2bbc,a153
27614,ea64,0301
27615,f10f,290f
27616,e1b7,9688
27617,f3fc,39b8
27618,f4b1,d8e7
27619,4037,5bf4
27620,4b31,91b6
27621,d53a,ad04
27622,d2ff,5899
27623,e6bd,53e1
27624,b735,760e
27625,d7b7,7555
27626,0217,e5ca
27627,93fc,8eb7
27628,f8f5,a26f
27629,1472,a1b8
27630,0341,8256
27631,2b15,cb39
27632,2b4c,6fc0
27633,f130,39c5
27634,3e41,f44d
27635,86c3,1d0f
27636,ca23,15f2
27637,307c,a81c
27638,91d3,9a02
27639,fd6b,fabe
27640,5e98,5c6e
27641,bbc7,3af9
27642,dc13,5492
27643,351b,7072
27644,8ebb,a315
27645,af60,ecee
27646,8a9c,e264
27647,3cb4,040d
27648,b815,2d4f
27649,cf33,66a0
27650,05e6,3548
27651,f16f,4c53
27652,6b99,aa66
27653,3fc4,3fed
27654,1b94,9ae1
27655,07f5,220f
27656,37ff,700b
27657,df85,ae5a
27658,9506,ac8e
27659,8e58,51e1
27660,ed70,170a
27661,bbcc,8a88
27662,7334,1189
27663,86d4,8000
27664,9897,87a7
27665,3296,8472
27666,8e62,530b
27667,9e9f,cfdf
27668,401f,acb9
27669,85bb,c198
27670,92cc,a6c5
27671,4056,9bb4
27672,9143,71a1
27673,a661,322a
27674,f90c,3e32
27675,ccff,bd2a
27676,eb5a,e923
27677,4b10,7cd1
27678,3358,9ae7
27679,ab66,cb05
27680,86b9,0a49
27681,80dd,9a4d
27682,869e,db92
27683,29b9,343c
27684,080c,f234
27685,bca1,3498
27686,e29f,7b44
27687,eef8,c339
27688,acee,2fe0
27689,ed4c,33ae
27690,993a,c4a6
27691,3273,d500
27692,7d59,33f1
27693,2533,4a5c
27694,ce1d,bec6
27695,082b,afc5
27696,c78a,75b2
27697,6cdd,1e66
27698,484d,27db
27699,b73c,66b3
27700,42da,3f3f
27701,82c7,553a
27702,e8a6,9404
27703,7273,5482
27704,b6c0,4d24
27705,82cb,84ec
27706,02db,e912
27707,7233,9f84
27708,2f0d,c907
27709,00ba,9fd2
27710,e765,978d
27711,1e4e,191b
27712,9fb7,44ec
27713,0e67,367b
27714,a907,a4fe
27715,1679,1d13
27716,0270,f624
27717,719b,2fc1
27718,99ab,03cb
27719,4d42,f7be
27720,5a91,4192
27721,2b40,e191
27722,9d7a,17f1
27723,1b3b,d2d3
27724,d34c,1c8c
27725,cb46,c171
27726,6f17,5c79
27727,25be,5038
27728,61f7,b96e
27729,c06e,6a83
27730,5dcb,1122
27731,3f04,5e8c
27732,786a,745a
27733,67fc,694b
27734,cf75,0eda
27735,0a1d,8a6d
27736,522c,aa9a
27737,3d15,3b3a
27738,0e69,469e
27739,0506,99e5
27740,abd4,182d
27741,6e04,db2d
27742,914d,7ad1
27743,9624,d9e5
27744,c1c0,fc2c
27745,5881,b64f
27746,d899,f244
27747,cf91,f2c4
27748,b934,59a9
27749,1cb6,0d9c
27750,4e3d,843a
27751,b569,2729
27752,59c7,4c95
27753,0128,73a4
27754,52fc,6786
27755,904b,5aae
27756,5087,23c9
